Symbol,scriptcode,previousclose,buyval,sellval,stoplossval,tp1,tp2,tp3,tp1qty,tp2qty,tp3qty,slqty,totalqty,stoplos_bool,tp1_bool,tp2_bool,tp3_bool,tradetype,tslstep,tslmove,tslval,slpts
AARTIDRUGS,4481,464.35,513.10675,413.2715,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
AARTIIND,7,654.85,723.60925,582.8165,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ABBOTINDIA,17903,27229.55,30088.65275,24234.2995,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ABFRL,30108,220.35,243.48675,196.1115,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ADANIENT,25,3207.35,3544.12175,2854.5415,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ADANIGREEN,3563,1930.3,2132.9815,1717.9669999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ADANIPORTS,15083,1326.95,1466.2797500000001,1180.9855,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ADANIPOWER,15083,1326.95,1466.2797500000001,1180.9855,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
AJANTPHARM,8124,2102.05,2322.7652500000004,1870.8245000000002,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ALKYLAMINE,4487,2103.6,2324.478,1872.204,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ALOKINDS,4487,2103.6,2324.478,1872.204,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
AMBER,1185,3625.55,4006.23275,3226.7395,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
APARINDS,11491,6083.4,6722.156999999999,5414.226,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
APLLTD,25328,978.25,1080.96625,870.6425,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
APOLLOHOSP,157,6204.7,6856.193499999999,5522.183,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
APOLLOTYRE,163,510.65,564.26825,454.4785,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ASAHIINDIA,5378,523.0,577.915,465.47,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ASHOKLEY,212,169.6,187.408,150.944,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ASTRAL,14418,2101.0,2321.605,1869.8899999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ATGL,6066,1000.15,1105.16575,890.1335,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ATUL,263,6013.85,6645.30425,5352.3265,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
AUROPHARMA,275,1064.7,1176.4935,947.5830000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
AVANTIFEED,7936,518.2,572.6110000000001,461.19800000000004,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
AXISBANK,5900,1105.1,1221.1354999999999,983.5389999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BAJAJFINSV,16675,1598.8,1766.674,1422.932,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BAJAJHLDNG,305,8616.15,9520.84575,7668.3735,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BALAMINES,14501,2223.6,2457.078,1979.004,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BALRAMCHIN,341,374.8,414.154,333.572,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BANDHANBNK,2263,191.8,211.93900000000002,170.702,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BANKBARODA,4668,277.4,306.527,246.88599999999997,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BANKINDIA,4745,143.9,159.0095,128.071,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BATAINDIA,371,1447.1,1599.0455,1287.9189999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BCG,8833,17.75,19.61375,15.7975,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BDL,2144,1768.6,1954.3029999999999,1574.0539999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BEL,383,212.55,234.86775,189.1695,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BEML,395,3196.25,3531.85625,2844.6625,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BHARATFORG,422,1159.85,1281.6342499999998,1032.2665,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BHARTIARTL,10604,1196.6,1322.243,1064.974,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BHEL,438,254.55,281.27775,226.54950000000002,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BIOCON,11373,279.2,308.51599999999996,248.488,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BLS,17279,334.1,369.18050000000005,297.34900000000005,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BLUEDART,495,5781.5,6388.5575,5145.535,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BLUESTARCO,8311,1325.85,1465.06425,1180.0065,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BORORENEW,3149,528.5,583.9925,470.365,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BRIGADE,15184,875.85,967.81425,779.5065,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
BSE,19585,2204.1,2435.5305,1961.649,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CANBK,10794,586.25,647.80625,521.7625,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CANFINHOME,583,771.0,851.955,686.19,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CARBORUNIV,595,1069.7,1182.0185000000001,952.033,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CASTROLIND,1250,201.95,223.15474999999998,179.7355,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CDSL,21174,1810.6,2000.713,1611.434,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CEATLTD,15254,2672.1,2952.6704999999997,2378.169,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CENTRALBK,14894,62.15,68.67575,55.3135,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CENTURYTEX,625,1468.1,1622.2504999999999,1306.609,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CERA,15039,7469.2,8253.466,6647.588,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CGCL,20329,229.3,253.37650000000002,204.077,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CGPOWER,760,469.45,518.74225,417.8105,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CHALET,8546,743.4,821.457,661.626,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
